season_name,source_snapshot_date,club_name,player_name,is_home_grown,squad_scope,source_note
2025/26,2026-02-05,AFC Bournemouth,"Adams, Tyler Shaan",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Adli, Amine",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Bevan, Owen Lucas",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Brooks, David Robert",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Christie, Ryan",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Cook, Lewis John",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"De Lima Barbosa, Francisco Evanilson",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Dennis, William Jonathon",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Diakite, Bafode",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Forster, Fraser Gerard",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Hill, James",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Kluivert, Justin Dean",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Mandas, Christos",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Petrovic, Djorde",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Sadi, Dominic Wadi",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Scott, Alex Jay",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Senesi Baron, Marcos Nicolas",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Smith, Adam James",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
